Unknown command: 'runsererr'. Did you mean runserver?
Type 'manage.py help' for usage.
Watching for file changes with StatReloader
Watching for file changes with StatReloader
[12/Aug/2022 00:07:13] "GET / HTTP/1.1" 200 4973
[12/Aug/2022 00:07:13] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[12/Aug/2022 00:07:13] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
[12/Aug/2022 00:07:13] "GET /static/style.css HTTP/1.1" 200 0
[12/Aug/2022 00:07:14] "GET / HTTP/1.1" 200 4973
Not Found: /favicon.ico
[12/Aug/2022 00:07:14] "GET / HTTP/1.1" 200 4973
[12/Aug/2022 00:07:14] "GET /favicon.ico HTTP/1.1" 404 2822
[12/Aug/2022 00:07:17] "GET / HTTP/1.1" 200 4973
[12/Aug/2022 00:07:17] "GET /static/style.css HTTP/1.1" 200 0
[12/Aug/2022 00:07:17] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[12/Aug/2022 00:07:17] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
Not Found: /favicon.ico
[12/Aug/2022 00:07:17] "GET /favicon.ico HTTP/1.1" 404 2822
[12/Aug/2022 00:11:52] "GET / HTTP/1.1" 200 5085
[12/Aug/2022 00:13:12] "GET / HTTP/1.1" 200 5085
[12/Aug/2022 00:13:13] "GET / HTTP/1.1" 200 5085
[12/Aug/2022 00:13:44] "GET /jhpy/qna/ HTTP/1.1" 200 6499
[12/Aug/2022 00:13:49] "GET / HTTP/1.1" 200 5085
[12/Aug/2022 00:13:53] "GET /download/ HTTP/1.1" 200 3016
[12/Aug/2022 00:13:55] "GET / HTTP/1.1" 200 5085
[12/Aug/2022 00:14:12] "GET / HTTP/1.1" 200 5085
[12/Aug/2022 00:14:12] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[12/Aug/2022 00:14:12] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
[12/Aug/2022 00:14:12] "GET /static/style.css HTTP/1.1" 200 0
Not Found: /favicon.ico
[12/Aug/2022 00:14:12] "GET /favicon.ico HTTP/1.1" 404 2822
[12/Aug/2022 00:14:40] "GET / HTTP/1.1" 200 5085
[12/Aug/2022 00:14:40] "GET /static/bootstrap.min.css HTTP/1.1" 200 163873
[12/Aug/2022 00:14:40] "GET /static/style.css HTTP/1.1" 200 0
[12/Aug/2022 00:14:40] "GET /static/bootstrap.min.js HTTP/1.1" 200 59219
Not Found: /favicon.ico
[12/Aug/2022 00:14:41] "GET /favicon.ico HTTP/1.1" 404 2822
